ticker,10_0,10_1,122_0,122_1,152_0,152_1,182_0,182_1,273_0,273_1,30_0,30_1,365_0,365_1,547_0,547_1,60_0,60_1,730_0,730_1,91_0,91_1
CNS,,,0.41538450000000005,0.4013215,0.417323,0.404115,0.4199755,0.4074545,,,0.385316,0.384256,,,,,0.426632,0.39478250000000004,,,0.412937,0.398988
CNSL,,,0.6335919999999999,0.6303570000000001,0.6341114999999999,0.627316,,,,,0.7183405,0.6636265,,,,,0.653734,0.670592,,,0.6257185000000001,0.6672875
CNST,,,0.9630435,0.9560015,0.9599614999999999,0.955125,0.947992,0.9483794999999999,,,0.983325,1.1399425,,,,,0.996143,1.180783,,,0.962685,0.9542225
CNTY,,,0.9540409999999999,0.9142144999999999,0.946306,0.9131389999999999,0.92901,0.9108905,,,0.9653149999999999,0.911754,,,,,0.9652725,0.9117705,,,0.955244,0.9143140000000001
CNX,,,0.650167,0.6441345,0.6496725,0.6466585,0.6509670000000001,0.6483814999999999,0.6444734999999999,0.6392405,0.6776445,0.6516820000000001,0.6279755,0.6157064999999999,0.6712644999999999,0.6186155,0.67045,0.6344475,0.6699655,0.6332405,0.67098,0.632802
CNXN,,,0.4324545,0.41669,0.431223,0.4168185,,,,,0.5208425,0.475376,,,,,0.479655,0.441328,,,0.4640705,0.431088
CNXT,,,0.26412,0.2696305,0.262746,0.27561199999999997,0.26239250000000003,0.276309,,,0.2827575,0.2585965,,,,,0.28118750000000003,0.2578685,,,0.264906,0.2631915
CNYA,,,0.25084300000000004,0.2470915,0.2491595,0.24558349999999998,0.2459515,0.2427375,,,0.32992449999999995,0.31265350000000003,,,,,0.3235475,0.3091705,,,0.2522235,0.247868
CO,,,0.730056,0.747501,0.917017,0.7507595,,,,,0.869179,1.577412,,,,,0.8712475,1.3617865,,,0.8608720000000001,0.7805070000000001
CODI,,,0.3643655,0.3569025,0.365924,0.3550385,0.3672715,0.355456,,,0.4169015,0.3827035,,,,,0.4061795,0.37945249999999997,,,0.3642285,0.3574975
CODX,1.548022,1.1764325,1.3904125,1.3777949999999999,1.3923619999999999,1.313978,1.394024,1.2873329999999998,1.3901189999999999,1.2877585,1.5762589999999999,1.162286,1.368806,1.3083155,1.3441670000000001,1.3042455,1.4681039999999999,1.182937,1.3210055,1.3037265,1.4113665000000002,1.3417945
COF,0.5521115000000001,0.4707655,0.47364649999999997,0.440368,0.470653,0.43947349999999996,0.465281,0.4369815,0.45694999999999997,0.431237,0.522631,0.451944,0.4331095,0.4110975,0.4228055,0.4045225,0.50426,0.444103,0.404466,0.3924695,0.4852685,0.439027
COHR,,,0.5150775000000001,0.5014095000000001,0.51028875,0.49988075,0.5090257499999999,0.499961,0.50334,0.5210060000000001,0.5661945,0.53313475,0.4958475,0.524707,0.499322,0.528527,0.54164775,0.5146575,0.501117,0.5316535,0.52094225,0.5012235
COHU,,,0.593383,0.5521735000000001,0.5870545,0.551104,0.5852705,0.5515335,,,0.569149,0.5349634999999999,,,,,0.573161,0.5387235,,,0.594046,0.551641
COLB,,,0.4644285,0.4210815,0.46847649999999996,0.4123525,0.46878200000000003,0.411258,,,0.6031215000000001,1.1880605,,,,,0.49843550000000003,1.006764,,,0.44863,0.430003
COLD,,,0.345619,0.3269455,0.346817,0.3249215,,,,,0.5599585,0.517604,,,,,0.4406445,0.469555,,,0.3691805,0.3295405
COLL,,,0.557245,0.512732,0.546398,0.5196080000000001,0.520965,0.5228335,,,0.6812425,0.598859,,,,,0.709205,0.599269,,,0.561919,0.5087174999999999
COLM,,,0.3866785,0.3969195,0.3863095,0.39825299999999997,,,,,0.42489849999999996,0.3821725,,,,,0.39998350000000005,0.3810715,,,0.39372799999999997,0.383034
COMM,,,0.6665905,0.649106,0.6608689999999999,0.652367,0.6590465000000001,0.6533599999999999,0.6597230000000001,0.6537945000000001,0.753907,0.7174185,0.6491104999999999,0.640131,0.60815,0.614723,0.6734374999999999,0.6477029999999999,0.5623625,0.5794215,0.660855,0.641481
CONE,,,0.3454705,0.3276095,0.33893399999999996,0.3290735,0.3230375,0.3296015,0.313643,0.3263065,0.35297,0.3326445,0.3157805,0.3065955,,,0.3598175,0.32656300000000005,,,0.357831,0.325993
CONN,,,0.8874445,0.8715625,0.891031,0.875939,,,,,0.9717685,0.9724060000000001,,,,,0.9297975,0.898829,,,0.907627,0.8740465
COO,,,0.3294845,0.317336,0.3297935,0.31582699999999997,0.3302485,0.315674,,,0.378423,0.360458,,,,,0.3724455,0.35394400000000004,,,0.328929,0.3173315
COOP,,,0.5778085,0.506335,0.581053,0.5067714999999999,0.5831465,0.5089005,0.6095645000000001,0.5384175,0.5887039999999999,0.550812,0.622939,0.5463695,0.6001190000000001,0.5478765,0.5689905,0.534958,0.5486115,0.5519050000000001,0.563569,0.52913
COP,0.654086,0.5403255,0.5303645,0.486422,0.5192295,0.480742,0.5163175,0.48051299999999997,0.5155805,0.4802515,0.590886,0.51042,0.499543,0.4615785,0.4784125,0.4506525,0.5591185,0.4927275,0.457901,0.44420099999999996,0.53193,0.4856935
COR,,,0.2743185,0.248755,0.2736915,0.249345,,,,,0.32382,0.24457099999999998,,,,,0.306595,0.2621565,,,0.29915400000000003,0.26474600000000004
CORE,,,0.4016065,0.39225350000000003,0.465307,0.4405795,0.484149,0.457626,,,0.52327,0.48350249999999995,,,,,0.491842,0.4635185,,,0.3829305,0.379232
CORN,,,0.203364,0.2234835,0.216948,0.24816549999999998,0.2206465,0.254583,0.2783315,0.2723775,0.1903285,0.266621,0.3091755,0.2864525,0.3045295,0.2902895,0.196195,0.2128915,0.31343,0.305523,0.1973065,0.211305
CORR,,,0.8606480000000001,0.8440835,0.869586,0.8379369999999999,0.8900565,0.8278435,,,0.830437,0.6503625,,,,,0.830469,0.6690879999999999,,,0.8596325,0.844913
CORT,,,0.788178,0.8024264999999999,0.8011865,0.8077235,0.8092779999999999,0.8103885,0.8127495,0.8123054999999999,1.0209715,0.974637,0.7998365,0.8061480000000001,0.7800825,0.765591,0.8683605,0.874679,0.7323735,0.693642,0.798073,0.808523
COST,0.28895899999999997,0.241114,0.2645655,0.250215,0.263274,0.25013,0.2625725,0.250428,0.261169,0.25102250000000004,0.2776555,0.2377825,0.2589635,0.252476,0.258274,0.2534105,0.2788075,0.24915500000000002,0.25734049999999997,0.2534375,0.27190400000000003,0.24792550000000002
COTY,0.8651725,0.8009955,0.81597,0.831978,0.8287005,0.8328485000000001,0.837296,0.832651,0.8383715,0.8447435,0.866536,0.8010025000000001,0.832443,0.882382,0.8332845,0.8678545,0.8636115,0.802692,0.8404195,0.856073,0.8329185,0.821016
COUP,0.5941615,0.5402015,0.56481,0.5374399999999999,0.5587415,0.5322899999999999,0.5466610000000001,0.522834,0.532594,0.5163584999999999,0.5865020000000001,0.545729,0.526346,0.514687,0.5064069999999999,0.4958995,0.5977790000000001,0.5683739999999999,0.475603,0.46422949999999996,0.573271,0.545898
COW,,,0.2465165,0.2545965,0.24531799999999998,0.253972,,,,,0.29839150000000003,0.31101999999999996,,,,,0.25217500000000004,0.275331,,,0.25034999999999996,0.262836
COWN,,,0.4488225,0.41973499999999997,0.451403,0.421931,,,,,0.458602,0.5314745000000001,,,,,0.415529,0.443302,,,0.4095575,0.4086105
COWZ,,,0.45185949999999997,0.314676,0.4514365,0.3017625,0.45042799999999994,0.28355600000000003,,,0.41822550000000003,0.6132405000000001,,,,,0.3909735,0.5908715,,,0.41209949999999995,0.5674805
CP,,,0.27090749999999997,0.2680905,0.270127,0.26767399999999997,0.26756199999999997,0.2658455,,,0.2831215,0.2701075,,,,,0.2809275,0.269794,,,0.2709525,0.267954
CPA,,,0.6494415,0.6042135,0.6369025,0.5968525,0.6331694999999999,0.5970105,0.6432225,0.6295744999999999,0.678494,0.648738,,,,,0.6721254999999999,0.637266,,,0.652812,0.6047039999999999
CPB,0.2933065,0.264173,0.29207,0.274216,0.290207,0.27602899999999997,0.2903295,0.2774745,0.290018,0.27848150000000005,0.34036849999999996,0.3056905,0.28562299999999996,0.27952299999999997,0.28782399999999997,0.2842805,0.32633100000000004,0.2934195,0.29153249999999997,0.290659,0.2941635,0.27390349999999997
CPE,,,1.2788685,1.2563214999999999,1.282766,1.2615535,1.285725,1.2624469999999999,1.308821,1.277728,1.2425865,1.165651,1.3175395,1.2770655,1.2269925,1.1879155,1.2375720000000001,1.1671245,1.0909105000000001,1.0650335,1.250371,1.1793825
CPF,,,0.4380965,0.444369,0.44287,0.44616500000000003,0.4497215,0.44969899999999996,,,0.448357,0.46132,,,,,0.426303,0.460163,,,0.423587,0.443929
CPK,,,0.351194,0.3472815,0.33722799999999997,0.3517565,0.305991,0.3578,,,0.368342,0.3147105,,,,,0.36599899999999996,0.3488215,,,0.3529715,0.346211
CPLG,,,0.7688174999999999,0.774841,0.7759455,0.7749045,,,,,0.7607085,0.6553955,,,,,0.735992,0.7439115000000001,,,0.725307,0.771574
CPLP,,,0.5690109999999999,0.5301210000000001,0.5593385,0.5231275,0.539632,0.509682,,,0.5444325000000001,0.566352,,,,,0.526032,0.5659080000000001,,,0.5701860000000001,0.531433
CPRI,0.9355994999999999,0.8474805000000001,0.7207455,0.6772775,0.7068965,0.666289,0.7018885,0.6629605,0.680862,0.648853,0.8380430000000001,0.754799,0.6405730000000001,0.623772,0.634475,0.622112,0.7692715,0.6961255,0.6229005000000001,0.6178170000000001,0.725333,0.6792595
CPRT,,,0.335234,0.32328999999999997,0.3298475,0.318163,0.328102,0.3167325,0.328857,0.31957650000000004,0.3750755,0.35427949999999997,0.329257,0.3233965,0.33021500000000004,0.3239405,0.37175,0.3498825,0.33020950000000004,0.322758,0.33632300000000004,0.32441
CPRX,,,0.9840395,1.002689,0.9994855,1.036983,1.0316355000000001,1.154167,,,0.985007,0.93988,,,,,0.9831190000000001,0.9687574999999999,,,0.9818395,0.992256
CPS,,,0.834371,0.8372325,0.8343575,0.8400665,,,,,0.8960325,0.8666425,,,,,0.8620665000000001,0.8486825,,,0.8558665,0.8436049999999999
CPSI,,,0.6819365,0.5186185,0.64767,0.514196,0.5844,0.5073350000000001,,,0.9816395,1.4332225,,,,,1.0053085,0.5760730000000001,,,0.700428,0.53715
CPSS,,,0.81214,0.7358935,0.7830649999999999,0.738238,,,,,1.0639794999999999,1.5710655,,,,,1.0595465,1.424543,,,0.9109805,0.7488589999999999
CPT,,,0.32718250000000004,0.284623,0.31371099999999996,0.28919550000000005,0.307591,0.29013,,,0.49389550000000004,0.2979215,,,,,0.330751,0.285831,,,0.331274,0.284142
CQP,,,0.353851,0.3268955,0.352892,0.326916,0.3550905,0.32962199999999997,,,0.387652,0.35674150000000004,,,,,0.386654,0.356464,,,0.350373,0.327293
CR,,,0.4033325,0.3910725,0.4096,0.3939035,0.42088749999999997,0.39885899999999996,,,0.458545,0.394923,,,,,0.4557115,0.39192899999999997,,,0.400687,0.38661
