"","ticker","secid","gvkey","cusip","addzip","gind","gsector","gsubind","state","spcsrc","foreign","no_dur","durables","manuf","energy","chemical","bus_eq","telco","utilities","shops","health","finance","fama","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","AdRI10_m","AdRI30_m","AdRI60_m","AdRI91_m","AdRI122_m","AdRI152_m","AdRI182_m","AdRI273_m","AdRI365_m","AdRI547_m","AdRI730_m","AdRI10_bs","AdRI30_bs","AdRI60_bs","AdRI91_bs","AdRI122_bs","AdRI152_bs","AdRI182_bs","AdRI273_bs","AdRI365_bs","AdRI547_bs","AdRI730_bs"
"2810","PIZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001208747,-3.190774e-05,NA,-0.004236092,-0.007263437,-0.00828059,-0.01030314,-0.006955749,0.002859326,NA,NA,NA,NA,NA,0.0001009115,0.0001009115,7.771256e-05,7.454417e-05,3.780922e-05,-2.235205e-05,NA,NA,NA,NA,NA,0.0001401395,0.0001205255,9.064486e-05,8.41904e-05,4.555159e-05,-1.58859e-05,NA,NA,NA,NA,NA,0.0001623155,0.0001623155,0.0001214832,0.0001111854,7.058856e-05,5.823571e-06,NA,NA,NA,NA,NA,2.090091e-05,9.16082e-05,7.486304e-05,7.641132e-05,4.267779e-05,1.748652e-05,NA,NA,NA,NA
"2811","PJP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.931407e-05,0.0005376415,NA,0.001458242,0.002995799,0.009026558,0.01033481,0.003427067,-0.000125698,NA,NA,NA,NA,NA,-5.125188e-05,-5.125188e-05,-0.0001000645,-8.536166e-05,-2.30683e-05,2.548568e-07,NA,NA,NA,NA,NA,-3.06867e-05,-4.096929e-05,-9.32848e-05,-8.030465e-05,-1.900938e-05,3.644723e-06,NA,NA,NA,NA,NA,1.01521e-05,1.01521e-05,5.629386e-05,4.872044e-05,9.711048e-06,2.843048e-05,NA,NA,NA,NA,NA,0.0001499253,6.988658e-05,0.0001090666,8.808372e-05,2.188317e-05,2.044098e-06,NA,NA,NA,NA
"2812","PKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006972556,0.0008113359,NA,0.005543803,0.01039035,0.005872965,0.00774545,0.009819813,0.01211618,0.01633347,0.01673949,NA,NA,NA,-0.0001615516,-0.0001615516,-5.687593e-05,-5.777209e-05,-6.001682e-05,-6.274134e-05,-5.727552e-05,-4.395132e-05,NA,NA,NA,-0.0001577489,-0.0001596502,-5.56223e-05,-5.6837e-05,-5.926629e-05,-6.211452e-05,-5.685764e-05,-4.363877e-05,NA,NA,NA,0.0001001476,0.0001001476,1.310526e-05,2.113086e-05,2.723748e-05,3.456572e-05,1.285392e-05,1.280358e-05,NA,NA,NA,0.0002769875,0.0001885675,7.140413e-05,6.461608e-05,6.214009e-05,6.371515e-05,3.578401e-05,3.05917e-05,NA,NA
"2813","PKW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001305577,0.0008808606,NA,0.00642512,0.01154466,0.00379074,0.005098445,0.005557293,0.005939358,NA,NA,NA,NA,NA,-0.0001706514,-0.0001706514,-2.730948e-05,-3.108909e-05,-2.797182e-05,-2.546034e-05,NA,NA,NA,NA,NA,-0.0001848086,-0.00017773,-3.197669e-05,-3.457037e-05,-3.0766e-05,-2.779394e-05,NA,NA,NA,NA,NA,0.0001092474,0.0001092474,1.646118e-05,5.552137e-06,4.807525e-06,2.715282e-06,NA,NA,NA,NA,NA,0.0003040472,0.0002066473,4.775852e-05,4.234944e-05,3.363979e-05,2.939457e-05,NA,NA,NA,NA
"2814","PKX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004862669,0.001402511,NA,0.002708138,0.0005536069,0.01029297,0.00760608,-0.01143686,-0.02112136,NA,NA,NA,NA,NA,7.181771e-05,7.181771e-05,-5.967359e-05,-2.248698e-05,0.0001072337,0.0001427694,NA,NA,NA,NA,NA,-4.352091e-05,1.41484e-05,-9.769731e-05,-5.084893e-05,8.446951e-05,0.0001237575,NA,NA,NA,NA,NA,0.0001332217,0.0001332217,1.590292e-05,1.415425e-05,0.0001400131,0.000170945,NA,NA,NA,NA,NA,0.0001627595,1.476889e-05,0.0001134791,5.862801e-05,8.159572e-05,0.0001221569,NA,NA,NA,NA
"2815","PLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002286337,0.001043592,NA,0.02311158,0.04393683,0.03527646,0.04046146,0.03049555,0.03020714,0.07101257,0.1460858,NA,NA,NA,-0.0006941749,-0.0006941749,-0.0003625289,-0.0003129108,-0.0001855869,-0.000153411,-0.0002517444,-0.000393971,NA,NA,NA,-0.0007355997,-0.0007148873,-0.0003761854,-0.0003230973,-0.0001937629,-0.0001602393,-0.0002562966,-0.0003973758,NA,NA,NA,0.0006327709,0.0006327709,0.0003187582,0.0002762696,0.0001528076,0.0001252354,0.0002073228,0.0003628233,NA,NA,NA,0.0008548383,0.0007438046,0.0003919672,0.0003308763,0.0001966367,0.0001618399,0.000235223,0.0003843288,NA,NA
"2816","PLUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02678093,-0.01509738,NA,0.003177544,0.03313601,-0.1798673,-0.2397564,-0.2010806,-0.04189513,0.1100453,-0.008570503,0.04605982,0.1979457,NA,-0.0009986157,-0.0009986157,0.001682268,0.0017457,0.001146708,8.30451e-05,-0.0005011948,-4.989157e-05,-0.0001331641,-0.0003078447,NA,-0.0006091642,-0.00080389,0.001810658,0.001841467,0.001223574,0.0001472404,-0.000458398,-1.788186e-05,-0.0001118048,-0.0002918399,NA,0.0009372117,0.0009372117,0.001726038,0.001782342,0.001179488,0.0001112207,0.0004567732,1.874382e-05,0.0001134972,0.0003060252,NA,0.0007284028,0.0008328072,0.001794877,0.001833688,0.0012207,0.0001456398,0.0004373243,4.83479e-06,0.0001040875,0.0002989887
"2817","PLYA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07275484,0.002855194,NA,0.043194,0.01363315,0.005955281,0.03308222,0.1215519,0.1609716,0.1302486,NA,NA,NA,NA,0.0009853614,0.0009853614,0.0007340611,0.0003251854,-0.0003210331,-0.0004847074,-0.0002105999,NA,NA,NA,NA,-0.001344627,-0.0001796327,-3.40669e-05,-0.0002477625,-0.0007808992,-0.0008687714,-0.0004666425,NA,NA,NA,NA,0.001046765,0.001046765,0.0007778317,0.0003618266,0.0002882538,0.0004565318,0.0001661783,NA,NA,NA,NA,0.001463865,0.00020855,4.984872e-05,0.0002555416,0.000783773,0.000870372,0.0004455689,NA,NA,NA
"2818","PNNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,-0.0008856003,-0.001771201,-0.002704274,-0.004174503,-0.005785696,-0.006625861,NA,NA,NA,NA,NA,2.952001e-05,2.952001e-05,2.97173e-05,3.421723e-05,3.806379e-05,3.640583e-05,NA,NA,NA,NA,NA,2.952001e-05,2.952001e-05,2.97173e-05,3.421723e-05,3.806379e-05,3.640583e-05,NA,NA,NA,NA,NA,9.0924e-05,9.0924e-05,7.348796e-05,7.085846e-05,7.084313e-05,6.458145e-05,NA,NA,NA,NA,NA,8.971856e-05,6.0272e-07,1.393547e-05,2.643816e-05,3.519e-05,3.480521e-05,NA,NA,NA,NA
"2819","PNQI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000360058,0.0002517808,NA,0.006500993,0.01264193,0.01444554,0.01928215,0.02136299,0.01849905,NA,NA,NA,NA,NA,-0.0002046978,-0.0002046978,-0.0001547855,-0.0001550992,-0.0001381772,-9.966481e-05,NA,NA,NA,NA,NA,-0.0002083071,-0.0002065025,-0.0001559753,-0.0001559867,-0.0001388895,-0.0001002597,NA,NA,NA,NA,NA,0.0001432938,0.0001432938,0.0001110148,0.0001184579,0.0001053978,7.148919e-05,NA,NA,NA,NA,NA,0.0003275456,0.0002354197,0.0001717572,0.0001637657,0.0001417633,0.0001018604,NA,NA,NA,NA
