"","ticker","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","AdRI10_m","AdRI30_m","AdRI60_m","AdRI91_m","AdRI122_m","AdRI152_m","AdRI182_m","AdRI273_m","AdRI365_m","AdRI547_m","AdRI730_m","AdRI10_bs","AdRI30_bs","AdRI60_bs","AdRI91_bs","AdRI122_bs","AdRI152_bs","AdRI182_bs","AdRI273_bs","AdRI365_bs","AdRI547_bs","AdRI730_bs"
"411","ROST",0.00244233567379464,0.0100749863760119,0.00327145891650794,0.00492970540193453,0.00761922170285715,0.00920011554619444,0.0113632267801607,0.0068439531966984,0.0049106307582222,0.00625936457249996,0.00582037847049602,0.00990441386138386,0.0155291683630258,-8.29123242713295e-05,-8.29123242713295e-05,-8.62814338177085e-05,-7.42613172791187e-05,-7.31220582489022e-05,-2.89580100191037e-05,-1.35620609034481e-05,-1.39817908377484e-05,-9.25491177178459e-06,-1.36418248401997e-05,-1.792716806744e-05,0.000680352745950397,0.000171509365802579,4.09294112192459e-05,9.61396516282926e-06,-1.05593475749902e-05,2.12567972323257e-05,2.83755803175258e-05,1.39766366429009e-05,1.1656460015112e-05,3.11832750691129e-07,-7.47148217399165e-06,9.66801143310765e-05,9.66801143310765e-05,9.28963097186589e-05,5.10391223086114e-05,1.42994132568253e-05,4.74674116006782e-05,4.29436072887165e-05,1.40760545352581e-05,2.92393722767479e-05,1.23876566055521e-05,6.44202567318899e-06,9.89595028280539e-05,3.14669086113664e-05,6.02897068588038e-05,2.95402632801356e-05,1.73662093654598e-06,3.45963841559986e-05,3.39936264253435e-05,8.01777412680381e-06,2.4589477210679e-05,9.09362348104024e-06,8.94184543342097e-06
"412","RRC",0.0088008005851637,0.0129352919641071,0.0115787387475,0.0171346150721726,0.0495681777695238,0.0620826791970486,0.0394270425745237,0.0516859876405477,0.0765044854108888,0.131828610256687,0.140569432799921,0.336689511085581,0.673283248159683,-0.000277793816233631,-0.000277793816233631,-0.000679456286406002,-0.000585515149581153,-0.00025103477040459,-0.000282139388522263,-0.000371998268273215,-0.000450651317478109,-0.000361009951273306,-0.000599430914991622,-0.000910249928184273,0.000135655321660713,-0.000139977436935516,-0.000610548096756945,-0.000540081178383973,-0.000217145496806693,-0.000254938787345004,-0.000349281282674625,-0.000435506660412382,-0.000349682577632365,-0.00059187242983816,-0.000904586241363802,9.82013776312246e-05,9.82013776312248e-05,0.000500278542869634,0.000460214709993423,0.000163613298898862,0.000205713966902481,0.00031549260008105,0.000422593472105103,0.000322515667224774,0.00057340143354587,0.000898764785790022,0.000643656927117738,0.000280019894126729,0.000591187801117387,0.000520154880266666,0.000208322770168249,0.000241599200421331,0.000343663236566807,0.000441465522928479,0.000336749560436798,0.000583090639107811,0.000906056604623231
"413","RSX",0.000372735673526782,0.00366392740904762,0.000385697287906744,0.000411620516666668,0.0112343170443452,0.0107756924794097,0.00894109638086309,0.00429816334514286,0.00254930216883336,0.00218467632093749,0.0166297404439732,0.0375801018371428,0.0301184652703174,-1.2961614379962e-06,-1.29616143799619e-06,-0.000181026356180308,-0.000114318206658054,-7.0232464814232e-05,-2.58251820501057e-05,-1.19591565676186e-05,-6.63714522861064e-06,-4.45397390971135e-05,-6.80207790925339e-05,-4.07475747901242e-05,0.000327823012114088,0.000108410229746032,-0.000126173160588294,-7.81512645094736e-05,-4.32554833755366e-05,-4.17260484273179e-06,6.12431450667178e-06,5.41850215424959e-06,-3.55227754381523e-05,-6.20039751884739e-05,-3.62390929606436e-05,0.00017829627716441,0.00017829627716441,1.84861264394026e-06,1.09822329296759e-05,1.71890066914955e-05,5.06002395696762e-05,4.45465116245461e-05,2.14207001443958e-05,6.04545504858096e-06,4.19912976467822e-05,2.92624323958732e-05,0.000451489236664363,3.16322274451811e-05,0.000106812864948736,5.82249663921672e-05,3.44327567370924e-05,9.16698208094112e-06,1.17423606144895e-05,5.40360361847517e-07,2.25897582425853e-05,5.32221844581248e-05,3.77094562200729e-05
"414","RTX",0.00121614759233631,0.00428072837827382,0.00324413833920635,0.00730011983294643,0.01145120769,0.00931411314410416,0.00820144997300992,0.00779384988902382,0.00803200423909727,0.00802736072260414,-0.000180437407812545,0.0100606998904116,0.0160088283035714,-0.000202799074687004,-0.000202799074687004,-0.000170584334961062,-8.89886324370094e-05,-5.72565768907673e-05,-4.32743572150495e-05,-3.74497617953899e-05,-2.49494986456697e-05,3.82626027438041e-06,-1.6169199813666e-05,-2.02639461797741e-05,0.000103659003906747,-0.000100646381822421,-0.00011950798852877,-5.53119205036302e-05,-3.21370622519352e-05,-2.31126415180921e-05,-2.06114058287003e-05,-1.372392800121e-05,1.2222372016675e-05,-1.0566675524932e-05,-1.60658903086268e-05,2.32066360845983e-05,2.32066360845983e-05,8.59340857530582e-06,3.63118071507207e-05,3.01648946149603e-05,3.31510644047324e-05,1.90559063967747e-05,3.10834672733675e-06,4.23205443229129e-05,9.86028163208575e-06,8.77880378552309e-06,0.000675653244871704,0.000240688839013633,0.000100147692889212,3.53856223863239e-05,2.3314335613491e-05,9.77305459441923e-06,1.49933597208826e-05,1.96827905173071e-05,2.51553892122419e-05,1.78488479458291e-06,1.75362535680561e-05
"415","RUT",0.00154707161616071,0.00433793941285714,0.00236341967395833,0.00399611578955357,0.00532787459285715,0.00632748075483334,0.00715503719953373,0.00833337793572222,0.00906396535416668,0.00991701380150001,0.0117180304073413,0.0136395561934871,0.0144307282778571,-8.16348057797619e-05,-8.16348057797619e-05,-6.30133829449406e-05,-5.2531968556842e-05,-4.59669310112542e-05,-4.46467521023783e-05,-4.13016139450877e-05,-3.06591288840267e-05,-2.78656405237823e-05,-2.21069187885308e-05,-1.76488447420499e-05,0.000197451973889881,1.13941207767857e-05,-1.64989196666668e-05,-2.18630916700681e-05,-2.30909654645622e-05,-2.62857797556913e-05,-2.59671755017007e-05,-2.04361699217687e-05,-2.02194273821483e-05,-1.70047838768372e-05,-1.38257381712329e-05,9.79576328226441e-05,9.79576328226441e-05,0.000116164360591427,7.27684710308881e-05,4.14545404944733e-05,3.17786695174036e-05,1.52040542470769e-05,2.60128351102025e-06,1.06286435247502e-05,3.92256265722094e-06,6.16370234779893e-06,0.00058186027488857,0.000128648336414427,2.86137597289108e-06,1.93679355276178e-06,1.4268238826118e-05,1.29461928320184e-05,2.03491293938831e-05,2.63950324378659e-05,7.28641018658136e-06,8.22299314648809e-06,1.52961014306622e-05
"416","RVLV",-0.00533125670909227,0.0311774528678571,0.000961124320952378,0.0135458863810417,0.0232365573000001,0.0241317392391111,0.024170187197,0.0245941730874999,0.0186140911319999,-0.00949353123306255,-0.0295841709456946,-0.0160588113802312,-0.0349379344938088,-0.000629238103004465,-0.000629238103004465,-0.000476130233484872,-0.000323769186243994,-0.000241815113984363,-0.000196877827609159,-0.000131567845280726,1.524642682773e-05,6.64463403742529e-05,1.96116173146965e-05,4.05570928557761e-05,0.00302163285469048,0.000587718882893849,0.000132348259464285,7.74254244917141e-05,5.74366038594848e-05,4.33110511865607e-05,6.90294600871278e-05,0.000148977963739633,0.000166470202228909,8.63551448776753e-05,9.0569023783104e-05,0.000449645664402058,0.000449645664402059,0.000296952489948505,0.000198468746656263,0.000154393642478635,0.000120452405989377,7.50621770885614e-05,4.33042722007365e-05,0.000104940624422785,4.56410987604483e-05,5.2042235250027e-05,0.00224232060591202,0.000447676425702636,0.000151708555103843,9.73517226090204e-05,6.62593304979291e-05,5.66506381102336e-05,7.46475061949455e-05,0.000143019101223535,0.000179403219424476,9.51369356080244e-05,8.90986605236747e-05
"417","SAGE",-0.00952031951311011,0.0338499079573214,-0.00307718105731151,0.00980909585428571,0.0113237345741072,0.00274625783872925,-0.000534758951255816,-0.0092721624112461,-0.0128223715957638,-0.0154863186792708,-0.00645272618075407,NA,NA,-0.000644313845579861,-0.000644313845579861,-0.000347400901453621,-0.000134797553316916,-7.36521357529041e-05,-1.63261251226325e-06,1.8143143311284e-05,2.18534767991232e-05,-8.40436529412614e-06,NA,NA,0.0036927089014633,0.000801360403434524,0.000375436223053571,0.000341798352951563,0.000281841532037519,0.000283697831372155,0.000256441096445523,0.000180718778888616,0.000110418175720755,NA,NA,0.000464721406977455,0.000464721406977455,0.000168223157917254,9.49711372918597e-06,1.37693357528235e-05,7.47928091075187e-05,7.46488115034486e-05,4.99113221721297e-05,3.00899187544064e-05,NA,NA,0.00291339665268484,0.000661317946243312,0.000394796518693129,0.000361724651068869,0.000290664258675963,0.000297037418295828,0.000262059142553341,0.000174759916372519,0.000123351192916322,NA,NA
"418","SBUX",0.00101642777473215,0.001655994275,0.00170657867973214,0.00308688048973214,0.00519354284303572,0.00607597134290974,0.00610302429951389,0.00722469975495237,0.00798222322444444,0.0109110783773333,0.0134175421627927,0.0186623656066716,0.0237965930814286,-6.90150904999999e-05,-6.90150904999999e-05,-6.96185844717262e-05,-5.55993798700835e-05,-4.16934141375553e-05,-4.0843894606712e-05,-3.82736013720456e-05,-3.62441414014695e-05,-3.39756558577001e-05,-3.22594841534543e-05,-3.12057058995841e-05,-5.05844047321482e-06,-4.76962071577382e-05,-5.89591428005954e-05,-4.85711765704367e-05,-3.6451065774704e-05,-3.66362202628446e-05,-3.47594997222222e-05,-3.3901406968254e-05,-3.22234188706649e-05,-3.10902583759993e-05,-3.03295874060665e-05,0.000110577348102406,0.000110577348102406,0.000109559159064641,6.97010597176467e-05,4.57280573681723e-05,3.55815270130699e-05,1.82320668201191e-05,8.18629602846307e-06,4.51862819083244e-06,6.2300027077025e-06,1.97205635053332e-05,0.000784370689251666,0.000187738664348951,3.95988471610375e-05,2.86448784531304e-05,2.76283391362598e-05,2.32966333391717e-05,2.91414536144045e-05,3.98602694843511e-05,1.92904016750979e-05,2.23084676456502e-05,3.17999506654959e-05
"419","SCHW",0.00103498320751489,0.00101266104315475,0.002151440559375,0.00438435526309523,0.00832888424303572,0.00905354008541667,0.0123758342134464,0.013126721751619,0.0115850664205972,0.0139637292708333,0.0143521036006993,0.0154800237325714,0.0136768554897917,-0.000111645735186012,-0.000111645735186012,-0.000121565017258681,-8.81160096472724e-05,-9.29577951305864e-05,-7.95509114743695e-05,-5.7967490181771e-05,-4.73580441879797e-05,-3.64852613511903e-05,-2.64077523309992e-05,-1.7317633263393e-05,-0.000113877951622025,-0.000112389807331349,-0.000121937053331349,-8.83613081567244e-05,-9.31407636909154e-05,-7.9697767818844e-05,-5.8090139436497e-05,-4.74398103577971e-05,-3.65464179658756e-05,-2.64485606753504e-05,-1.73482115707356e-05,6.79467034163944e-05,6.79467034163944e-05,5.76127262776868e-05,3.71844299404578e-05,5.53632362485887e-06,3.12548985458758e-06,1.46182198960641e-06,1.93001988149732e-05,2.00902269734222e-06,3.78270885247395e-07,5.83249086914199e-06,0.000893190200400476,0.000252432264522562,0.000102576757691792,6.84350100394181e-05,8.43180370524712e-05,6.63581808951711e-05,5.24720933286794e-05,5.33986728738942e-05,2.36134007703087e-05,1.76667699450013e-05,1.88185748301649e-05
"420","SDC",0.00190351897165176,0.0544477251033334,0.00746252805213292,0.0185805462130952,0.0277918483214286,0.0273055055227499,0.0431917889369344,0.0571758566375001,0.071208470788,0.00673430399199993,-0.0619544689675049,-0.0377827945164453,0.0300311255384922,-0.000555900908048116,-0.000555900908048116,-0.000431472155829613,-0.000279142709352727,-0.000338428442338382,-0.000363633800433213,-0.000380796438551364,-1.76951832247186e-05,0.000174953391614128,7.25526754809818e-05,-3.85309678997814e-05,0.00469851970512005,0.00119557262967461,0.000444264613031748,0.000298266149237181,9.22617718557296e-05,-1.79482337774124e-05,-9.20920092564099e-05,0.000174774436305251,0.000318910120742023,0.000168611553235427,3.34473966641661e-05,0.00037630846944571,0.00037630846944571,0.000252294412293246,0.000153842269764997,0.000251006970832655,0.000287208378813431,0.000324290770359199,1.03626621482879e-05,0.00021344767566266,9.85821569267336e-05,2.70458255055304e-05,0.0039192074563416,0.00105553017248339,0.000463624908671305,0.000318192447354487,0.000101084498494174,4.60864685373945e-06,8.64739631485922e-05,0.000168815573789154,0.00033184313793759,0.000177393343965776,3.19770334047367e-05
"421","SDS",0.0032082555167113,0.0058002542442857,0.00626558861709325,0.0123802548178571,0.0189389548476786,0.0229889400020764,0.0242033145120238,0.0284709006925,0.032591295790625,0.0416396528080001,0.0256275129624751,0.00959693603494936,0.0129835498218749,-0.000305733310038195,-0.000305733310038195,-0.000262178322182788,-0.000217370159179836,-0.000172090647502562,-0.00016620161299861,-0.000161445276230295,-0.00014077434905234,-6.14226231390788e-05,-1.16794890644206e-05,-1.33908141166624e-05,-4.65334372807555e-05,-0.000219333352452382,-0.000218978343389881,-0.000188886656679018,-0.000150844756292935,-0.000149148989790884,-0.000147203524979887,-0.000131279848218734,-5.43212567621627e-05,-6.94091735039061e-06,-9.84013092820434e-06,0.000126140871435789,0.000126140871435789,8.30005786464203e-05,9.20697195921057e-05,8.46691759968339e-05,8.97761913788283e-05,0.000104939608038131,0.000112716503679333,2.29283390905463e-05,1.43499923813312e-05,1.90567172241145e-06,0.000825845686059206,0.000359375809643595,0.000199618047750323,0.000168960358561712,0.000142022029654491,0.000135809402867211,0.000141585478872069,0.000137238710734831,4.13882395665957e-05,1.8408733799585e-06,1.13104941876337e-05
"422","SE",-9.89696132886932e-05,0.02251091164125,0.000960370348759921,0.00307905027285715,0.00741170104000001,0.00916137806566668,0.0103934157175556,0.00830740070580944,0.00794525483555559,0.00904249241377082,0.0100027988170436,0.00887185744615112,0.00333722099900804,-0.000105933996204861,-0.000105933996204861,-0.000125177844221478,-0.000101762062406103,-8.60031584495432e-05,-5.53050678888035e-05,-4.41990354332103e-05,-3.34852088903279e-05,-2.76760778913213e-05,-1.64000494688114e-05,-4.70711042780374e-06,0.00215505412924901,0.000647728712279762,0.000251653510020833,0.000146698171160256,9.93237370794625e-05,9.34441508910563e-05,8.00310813499693e-05,4.93348689651252e-05,3.42688022580998e-05,2.49342855486269e-05,2.62653296469068e-05,7.36584423975446e-05,7.36584423975446e-05,5.39998993148889e-05,2.35383771816271e-05,1.4183130561844e-06,2.11203537309784e-05,1.23066327589543e-05,5.4273635173214e-06,1.08182061572113e-05,9.62943197694043e-06,6.77803196644722e-06,0.00137574188047056,0.000507686255088549,0.000271013805660391,0.000166624469277563,0.000108146463717907,0.000106783737814729,8.5649127457787e-05,4.33760064490281e-05,4.72018194536668e-05,3.3716076278976e-05,2.47949663874775e-05
